日期,用户ID,经度,纬度,车辆编号,距离,时间
2015/10/01,160631840,116.427574,39.910301,云鸟17,4076,11
本车合计,,,,云鸟17,54675,75
2015/10/01,O,116.282381,39.643378,云鸟88,0,0
2015/10/01,13915631100,116.593753,39.919192,云鸟88,55670,63
2015/10/01,14188630200,116.643632,39.885105,云鸟88,7833,22
2015/10/01,50097630800,116.679054,39.930439,云鸟88,7979,22
2015/10/01,50097630900,116.679054,39.930439,云鸟88,0,0
本车合计,,,,云鸟88,71482,107
2015/10/01,O,116.282381,39.643378,云鸟13,0,0
2015/10/01,102630900,116.492654,39.915921,云鸟13,45909,39
2015/10/01,255630080,116.489929,39.913822,云鸟13,1049,1
2015/10/01,255630360,116.489929,39.913822,云鸟13,0,0
2015/10/01,354629910,116.494571,39.918297,云鸟13,1125,4
2015/10/01,16486629500,116.494571,39.918297,云鸟13,0,0
2015/10/01,673631640,116.510789,39.915371,云鸟13,1785,5
2015/10/01,1525629830,116.510789,39.915371,云鸟13,0,0
2015/10/01,18199631200,116.502151,39.916298,云鸟13,1387,5
2015/10/01,296631440,116.504616,39.919784,云鸟13,675,3
2015/10/01,52978631000,116.499541,39.928464,云鸟13,1402,5
2015/10/01,52978630700,116.499541,39.928464,云鸟13,0,0
本车合计,,,,云鸟13,53332,62
2015/10/01,O,116.282381,39.643378,云鸟67,0,0
2015/10/01,54826630400,116.440102,40.086563,云鸟67,59826,62
2015/10/01,23177630100,116.408365,40.155167,云鸟67,11519,14
2015/10/01,23177630200,116.408365,40.155167,云鸟67,0,0
2015/10/01,23356630600,116.408365,40.155167,云鸟67,0,0
2015/10/01,23365629700,116.408365,40.155167,云鸟67,0,0
2015/10/01,23365630300,116.408365,40.155167,云鸟67,0,0
2015/10/01,52075629300,116.408365,40.155167,云鸟67,0,0
2015/10/01,23686631100,116.408365,40.155167,云鸟67,0,0
2015/10/01,27405629700,116.408365,40.155167,云鸟67,0,0
2015/10/01,23275629400,116.408623,40.153297,云鸟67,450,3
2015/10/01,51880629300,116.406821,40.153533,云鸟67,155,1
2015/10/01,53570629900,116.405685,40.153782,云鸟67,100,1
2015/10/01,41548629300,116.405685,40.153782,云鸟67,0,0
2015/10/01,36684629500,116.405685,40.153782,云鸟67,0,0
2015/10/01,34764631400,116.405685,40.153782,云鸟67,0,0
2015/10/01,23345631400,116.397677,40.154559,云鸟67,776,9
2015/10/01,34168630500,116.290604,40.108982,云鸟67,14612,21
2015/10/01,52202630200,116.234337,40.208122,云鸟67,13184,13
2015/10/01,42043629900,116.107574,40.233692,云鸟67,14625,20
本车合计,,,,云鸟67,115247,144
2015/10/01,O,116.282381,39.643378,一号货车17,0,0
2015/10/01,4163631050,116.340438,39.82322,一号货车17,24485,21
2015/10/01,56964630200,116.317963,39.874092,一号货车17,8677,20
2015/10/01,56964629200,116.317963,39.874092,一号货车17,0,0
2015/10/01,4651630760,116.317709,39.878662,一号货车17,507,1
2015/10/01,18945629600,116.312798,39.879166,一号货车17,1156,5
2015/10/01,13271630200,116.320781,39.885778,一号货车17,1779,7
2015/10/01,14689630900,116.316962,39.884996,一号货车17,609,2
2015/10/01,57139630800,116.316962,39.884996,一号货车17,0,0
2015/10/01,4302631030,116.309998,39.8936,一号货车17,2958,7
2015/10/01,4540629940,116.309089,39.890228,一号货车17,624,1
2015/10/01,20894630100,116.306782,39.889981,一号货车17,240,1
2015/10/01,4504631400,116.296739,39.888996,一号货车17,1186,3
2015/10/01,5417630860,116.287089,39.88989,一号货车17,1336,4
2015/10/01,48071629900,116.281342,39.889458,一号货车17,745,1
2015/10/01,42944629600,116.300604,39.879836,一号货车17,2779,8
2015/10/01,42944629700,116.300604,39.879836,一号货车17,0,0
2015/10/01,42972629900,116.300604,39.879836,一号货车17,0,0
2015/10/01,4137631480,116.306946,39.880927,一号货车17,735,1
本车合计,,,,一号货车17,47816,82
2015/10/01,O,116.282381,39.643378,云鸟19,0,0
2015/10/01,50344631300,116.510623,39.909157,云鸟19,46030,42
2015/10/01,1505629240,116.515411,39.908722,云鸟19,3594,6
2015/10/01,1505629520,116.515411,39.908722,云鸟19,0,0
2015/10/01,1505629700,116.515411,39.908722,云鸟19,0,0
2015/10/01,3054630730,116.514652,39.910991,云鸟19,885,2
2015/10/01,16686629900,116.503555,39.913406,云鸟19,2020,4
2015/10/01,1069630180,116.611679,39.86919,云鸟19,14166,18
2015/10/01,1069630300,116.611679,39.86919,云鸟19,0,0
本车合计,,,,云鸟19,66695,72
2015/10/01,O,116.282381,39.643378,云鸟72,0,0
2015/10/01,18168631300,116.271023,39.954563,云鸟72,44858,41
2015/10/01,55206629200,116.268784,39.957748,云鸟72,750,4
2015/10/01,41696630700,116.270488,39.956983,云鸟72,176,1
2015/10/01,13351631200,116.247672,39.980697,云鸟72,5355,14
2015/10/01,36445631500,116.247555,39.966136,云鸟72,1832,5
2015/10/01,42181631300,116.245874,39.96295,云鸟72,457,1
2015/10/01,53013629100,116.247551,39.962887,云鸟72,234,1
2015/10/01,39907630100,116.248135,39.959198,云鸟72,451,1
本车合计,,,,云鸟72,54113,68
2015/10/01,O,116.282381,39.643378,云鸟8,0,0
2015/10/01,21775629900,116.374161,39.92268,云鸟8,37379,31
2015/10/01,6246630800,116.373611,39.926548,云鸟8,776,2
2015/10/01,6246631800,116.373611,39.926548,云鸟8,0,0
2015/10/01,23465629300,116.373291,39.931171,云鸟8,509,1
2015/10/01,29464631400,116.372856,39.931538,云鸟8,42,1
2015/10/01,45547630100,116.374077,39.934818,云鸟8,512,2
2015/10/01,45526630700,116.373421,39.934734,云鸟8,56,1
2015/10/01,53501631500,116.37292,39.935528,云鸟8,114,1
2015/10/01,30300631800,116.380119,39.947247,云鸟8,1803,9
2015/10/01,45250631100,116.379364,39.944603,云鸟8,426,1
2015/10/01,13613630400,116.378891,39.941086,云鸟8,433,1
2015/10/01,23641630400,116.378891,39.941086,云鸟8,0,0
本车合计,,,,云鸟8,42050,50
2015/10/01,O,116.282381,39.643378,云鸟52,0,0
2015/10/01,34567629800,116.391559,39.954209,云鸟52,41883,37
2015/10/01,19026629600,116.41091,39.97087,云鸟52,3795,13
2015/10/01,19026630300,116.41091,39.97087,云鸟52,0,0
2015/10/01,14082630900,116.414001,39.964985,云鸟52,1387,4
2015/10/01,9789629920,116.424202,39.969288,云鸟52,1536,3
本车合计,,,,云鸟52,48601,57
2015/10/01,O,116.282381,39.643378,云鸟160,0,0
2015/10/01,52029630900,116.227055,39.879349,云鸟160,39641,34
2015/10/01,40394630700,116.227055,39.879349,云鸟160,0,0
2015/10/01,31421629800,116.227055,39.879349,云鸟160,0,0
2015/10/01,31326630300,116.227055,39.879349,云鸟160,0,0
2015/10/01,20052629400,116.231641,39.889751,云鸟160,1898,13
2015/10/01,20052629300,116.231476,39.889996,云鸟160,29,1
2015/10/01,5049631800,116.231956,39.894238,云鸟160,1464,6
2015/10/01,5050629390,116.231956,39.894238,云鸟160,0,0
2015/10/01,5064629840,116.231956,39.894238,云鸟160,0,0
2015/10/01,5064630140,116.231956,39.894238,云鸟160,0,0
2015/10/01,5064631580,116.231956,39.894238,云鸟160,0,0
2015/10/01,5068631700,116.231956,39.894238,云鸟160,0,0
本车合计,,,,云鸟160,43032,54
2015/10/01,O,116.282381,39.643378,云鸟116,0,0
2015/10/01,25123630800,116.336762,39.946895,云鸟116,40088,35
2015/10/01,25206631400,116.33233,39.950395,云鸟116,870,2
2015/10/01,26351631200,116.335365,39.958469,云鸟116,1196,5
2015/10/01,26361629400,116.335365,39.958469,云鸟116,0,0
2015/10/01,28055628800,116.337203,39.965716,云鸟116,1406,4
2015/10/01,25040630600,116.349285,39.972767,云鸟116,2701,11
2015/10/01,48176628900,116.343102,39.966339,云鸟116,2511,9
2015/10/01,27764631900,116.342361,39.962528,云鸟116,594,3
2015/10/01,32523629100,116.117035,40.054447,云鸟116,27497,30
本车合计,,,,云鸟116,76863,99
2015/10/01,O,116.282381,39.643378,云鸟11,0,0
2015/10/01,21522631400,116.360023,39.967289,云鸟11,41042,34
2015/10/01,1999630340,116.361,39.9636,云鸟11,502,1
2015/10/01,2065631870,116.361,39.9636,云鸟11,0,0
2015/10/01,58072629200,116.361,39.9636,云鸟11,0,0
2015/10/01,2065631880,116.361,39.9636,云鸟11,0,0
2015/10/01,2318631090,116.361,39.9636,云鸟11,0,0
2015/10/01,2318631110,116.361,39.9636,云鸟11,0,0
2015/10/01,2318631590,116.361,39.9636,云鸟11,0,0
2015/10/01,5489630950,116.366882,39.96714,云鸟11,2192,4
2015/10/01,43864631100,116.380455,39.968359,云鸟11,1894,5
2015/10/01,43864630500,116.380455,39.968359,云鸟11,0,0
2015/10/01,18087630400,116.389,39.957001,云鸟11,3571,9
2015/10/01,33516629800,116.375891,39.961845,云鸟11,1756,6
2015/10/01,43507630100,116.376785,39.963837,云鸟11,369,1
本车合计,,,,云鸟11,51326,60
2015/10/01,O,116.282381,39.643378,云鸟148,0,0
2015/10/01,40305631200,116.356318,39.950009,云鸟148,38706,32
2015/10/01,1526631900,116.3591,39.952076,云鸟148,515,1
2015/10/01,1527630940,116.3591,39.952076,云鸟148,0,0
2015/10/01,16654630500,116.3591,39.952076,云鸟148,0,0
2015/10/01,40673630700,116.362061,39.951126,云鸟148,652,1
2015/10/01,40596629700,116.362061,39.951126,云鸟148,0,0
2015/10/01,1609631400,116.365515,39.952368,云鸟148,372,1
2015/10/01,57593631800,116.365757,39.953516,云鸟148,145,1
2015/10/01,53842629300,116.365757,39.953516,云鸟148,0,0
2015/10/01,39345629300,116.369914,39.960632,云鸟148,2016,5
2015/10/01,39345630900,116.369914,39.960632,云鸟148,0,0
本车合计,,,,云鸟148,42406,41
2015/10/01,O,116.282381,39.643378,富路通9,0,0
2015/10/01,22344630600,116.183235,39.908585,富路通9,47234,44
2015/10/01,22530629800,116.183235,39.908585,富路通9,0,0
2015/10/01,50181631800,116.181031,39.908225,富路通9,541,2
2015/10/01,22058631900,116.190739,39.911017,富路通9,2017,4
2015/10/01,12349629400,116.186066,39.910908,富路通9,399,1
2015/10/01,20733629700,116.189613,39.897869,富路通9,1562,3
本车合计,,,,富路通9,51753,54
2015/10/01,O,116.282381,39.643378,云鸟31,0,0
2015/10/01,28504629500,116.42955,39.897552,云鸟31,39513,35
2015/10/01,37536630800,116.431427,39.897312,云鸟31,514,1
2015/10/01,45257629400,116.435753,39.895088,云鸟31,629,1
2015/10/01,20876630100,116.439598,39.897766,云鸟31,586,2
2015/10/01,20810630900,116.43929,39.897691,云鸟31,26,1
2015/10/01,22199630300,116.438184,39.8932,云鸟31,626,3
2015/10/01,5784630180,116.440266,39.887646,云鸟31,709,3
2015/10/01,5784630210,116.440266,39.887646,云鸟31,0,0
2015/10/01,5784630680,116.440266,39.887646,云鸟31,0,0
2015/10/01,5784630780,116.440266,39.887646,云鸟31,0,0
本车合计,,,,云鸟31,42603,46
2015/10/01,O,116.282381,39.643378,云鸟14,0,0
2015/10/01,27811629100,116.404155,40.125101,云鸟14,63434,67
2015/10/01,48466630300,116.404155,40.125101,云鸟14,0,0
2015/10/01,54684631800,116.404155,40.125101,云鸟14,0,0
2015/10/01,52329630400,116.404155,40.125101,云鸟14,0,0
2015/10/01,52329629400,116.404155,40.125101,云鸟14,0,0
2015/10/01,27957630900,116.424737,40.128169,云鸟14,2247,5
2015/10/01,29491629300,116.424866,40.128033,云鸟14,17,1
2015/10/01,21561630900,116.433854,40.127827,云鸟14,773,1
本车合计,,,,云鸟14,66471,74
2015/10/01,O,116.282381,39.643378,云鸟35,0,0
2015/10/01,10917629800,116.314399,39.982314,云鸟35,45894,40
2015/10/01,12265629000,116.315422,39.983341,云鸟35,1233,3
2015/10/01,14496629700,116.315422,39.983341,云鸟35,0,0
2015/10/01,37148631300,116.315422,39.983341,云鸟35,0,0
2015/10/01,37373629700,116.315422,39.983341,云鸟35,0,0
2015/10/01,48703630100,116.315377,39.983088,云鸟35,231,3
2015/10/01,9739630390,116.294624,40.199356,云鸟35,37180,30
本车合计,,,,云鸟35,84538,76
2015/10/01,O,116.282381,39.643378,一号货车28,0,0
2015/10/01,5462631880,116.53851,39.771975,一号货车28,31387,30
2015/10/01,53508629000,116.527727,39.818014,一号货车28,6750,15
本车合计,,,,一号货车28,38137,45
2015/10/01,O,116.282381,39.643378,云鸟102,0,0
2015/10/01,3936631810,116.342171,39.883747,云鸟102,31714,27
2015/10/01,52289629800,116.334862,39.884834,云鸟102,752,1
2015/10/01,58060628900,116.321222,39.893641,云鸟102,2295,8
2015/10/01,33470629900,116.321222,39.893641,云鸟102,0,0
2015/10/01,35566629200,116.32119,39.893333,云鸟102,4,1
2015/10/01,6017629590,116.336134,39.897536,云鸟102,3063,7
2015/10/01,6017629670,116.336134,39.897536,云鸟102,0,0
2015/10/01,54016630300,116.321281,39.895206,云鸟102,2290,6
本车合计,,,,云鸟102,40118,50
2015/10/01,O,116.282381,39.643378,云鸟120,0,0
2015/10/01,22306629800,116.36786,40.075051,云鸟120,60497,51
2015/10/01,24702629200,116.415894,40.176289,云鸟120,15546,18
2015/10/01,41820629300,116.393282,40.176005,云鸟120,2405,2
2015/10/01,26816629100,116.390999,40.176102,云鸟120,194,1
2015/10/01,38996631000,116.385658,40.176121,云鸟120,453,1
2015/10/01,38996631200,116.385658,40.176121,云鸟120,0,0
2015/10/01,22417629800,116.380533,40.175496,云鸟120,796,1
2015/10/01,22363629500,116.384392,40.178986,云鸟120,699,3
2015/10/01,41144628800,116.390993,40.178605,云鸟120,599,3
2015/10/01,35759630200,116.406057,40.221776,云鸟120,6393,8
本车合计,,,,云鸟120,87582,88
2015/10/01,O,116.282381,39.643378,云鸟130,0,0
2015/10/01,31900629900,116.307173,40.097995,云鸟130,58923,46
2015/10/01,33211631100,116.307051,40.113223,云鸟130,3639,8
2015/10/01,54467630700,116.278,40.1283,云鸟130,5177,12
2015/10/01,54467630800,116.278,40.1283,云鸟130,0,0
本车合计,,,,云鸟130,67739,66
2015/10/01,O,116.282381,39.643378,云鸟57,0,0
2015/10/01,638630450,116.460688,39.957841,云鸟57,47672,40
2015/10/01,638631900,116.460688,39.957841,云鸟57,0,0
2015/10/01,32844630600,116.460688,39.957841,云鸟57,0,0
2015/10/01,3081629540,116.465668,39.960365,云鸟57,1120,2
2015/10/01,1484629810,116.462786,39.959536,云鸟57,378,3
本车合计,,,,云鸟57,49170,45
2015/10/01,O,116.282381,39.643378,云鸟74,0,0
2015/10/01,10293629700,116.450692,39.92061,云鸟74,44487,38
2015/10/01,1361631270,116.450019,39.925273,云鸟74,1494,4
2015/10/01,37604631500,116.449711,39.933744,云鸟74,2108,7
2015/10/01,16994629900,116.440117,39.930069,云鸟74,1179,4
2015/10/01,16994630600,116.440117,39.930069,云鸟74,0,0
2015/10/01,17012628800,116.439429,39.930858,云鸟74,188,1
2015/10/01,17012628900,116.439429,39.930858,云鸟74,0,0
2015/10/01,17089629600,116.439424,39.930782,云鸟74,55,0
2015/10/01,17305630900,116.439468,39.930194,云鸟74,98,1
2015/10/01,16925629100,116.437881,39.931045,云鸟74,181,1
2015/10/01,38598630400,116.434842,39.940662,云鸟74,1468,4
本车合计,,,,云鸟74,51258,60
2015/10/01,O,116.282381,39.643378,云鸟56,0,0
2015/10/01,50350631400,116.470627,40.000263,云鸟56,56309,48
2015/10/01,48273630700,116.470302,39.999476,云鸟56,484,1
2015/10/01,48297629900,116.470302,39.999476,云鸟56,0,0
2015/10/01,48297630200,116.470302,39.999476,云鸟56,0,0
2015/10/01,35412629600,116.479577,39.995797,云鸟56,1944,9
2015/10/01,49459629400,116.479577,39.995797,云鸟56,0,0
2015/10/01,49459629200,116.479577,39.995797,云鸟56,0,0
2015/10/01,9576630010,116.479098,40.003036,云鸟56,1170,4
2015/10/01,27624629000,116.479722,40.003405,云鸟56,526,3
2015/10/01,37776630500,116.477898,40.014214,云鸟56,2259,11
本车合计,,,,云鸟56,62692,76
2015/10/01,O,116.282381,39.643378,张志元,0,0
2015/10/01,31548631300,116.396873,39.896988,张志元,36957,36
2015/10/01,31548631400,116.396873,39.896988,张志元,0,0
2015/10/01,12188631600,116.397018,39.89706,张志元,11,1
2015/10/01,16760630600,116.395785,39.896897,张志元,369,1
2015/10/01,12216630100,116.395996,39.896809,张志元,13,1
2015/10/01,27197630100,116.395866,39.896954,张志元,5,1
2015/10/01,51113630700,116.395851,39.896561,张志元,8,1
2015/10/01,27232631700,116.395851,39.896561,张志元,0,0
2015/10/01,27210631300,116.395889,39.896927,张志元,10,1
2015/10/01,27210631600,116.395889,39.896927,张志元,0,0
2015/10/01,50604630800,116.395889,39.896927,张志元,0,0
2015/10/01,50604630500,116.395889,39.896927,张志元,0,0
2015/10/01,13793629700,116.396103,39.896362,张志元,3,1
2015/10/01,13799629100,116.396103,39.896362,张志元,0,0
2015/10/01,41610631800,116.395897,39.897083,张志元,1,1
2015/10/01,18573630800,116.396065,39.896576,张志元,76,0
2015/10/01,31524629900,116.396011,39.896477,张志元,2,1
2015/10/01,27772630600,116.395248,39.896915,张志元,55,1
2015/10/01,41075630300,116.394791,39.896839,张志元,39,1
2015/10/01,10870630300,116.394089,39.896278,张志元,156,1
本车合计,,,,张志元,37705,48
2015/10/01,O,116.282381,39.643378,云鸟77,0,0
2015/10/01,15964631700,116.386414,39.897331,云鸟77,35136,32
2015/10/01,47148631900,116.384567,39.898811,云鸟77,1048,10
2015/10/01,47148631600,116.384567,39.898811,云鸟77,0,0
2015/10/01,14220629600,116.391909,39.900161,云鸟77,786,5
2015/10/01,14220629700,116.391909,39.900161,云鸟77,0,0
2015/10/01,12297631400,116.394302,39.899113,云鸟77,601,2
2015/10/01,12297631500,116.394302,39.899113,云鸟77,0,0
2015/10/01,16790629300,116.393501,39.899174,云鸟77,67,1
2015/10/01,38327631300,116.393501,39.899174,云鸟77,0,0
2015/10/01,44972631500,116.393478,39.898968,云鸟77,1,1
2015/10/01,7909631630,116.393329,39.899219,云鸟77,12,1
2015/10/01,16805629000,116.393272,39.899155,云鸟77,4,1
2015/10/01,16805631500,116.393272,39.899155,云鸟77,0,0
2015/10/01,15861631100,116.391464,39.899143,云鸟77,153,1
2015/10/01,6191631070,116.398478,39.886824,云鸟77,2282,8
本车合计,,,,云鸟77,40090,62
2015/10/01,O,116.282381,39.643378,云鸟16,0,0
2015/10/01,15960630100,116.422509,40.070482,云鸟16,56987,58
2015/10/01,15960630200,116.422509,40.070482,云鸟16,0,0
2015/10/01,16484631700,116.422509,40.070482,云鸟16,0,0
2015/10/01,27928629700,116.422509,40.070482,云鸟16,0,0
2015/10/01,25061629100,116.442764,40.072495,云鸟16,2178,5
2015/10/01,25061629200,116.442764,40.072495,云鸟16,0,0
2015/10/01,15908631600,116.414999,40.089152,云鸟16,3741,5
2015/10/01,55273631700,116.414999,40.089152,云鸟16,0,0
2015/10/01,53881630100,116.414999,40.089152,云鸟16,0,0
2015/10/01,53559630400,116.414999,40.089152,云鸟16,0,0
2015/10/01,52720630900,116.414999,40.089152,云鸟16,0,0
2015/10/01,48775629700,116.414999,40.089152,云鸟16,0,0
2015/10/01,40975631400,116.414999,40.089152,云鸟16,0,0
2015/10/01,38467631800,116.414999,40.089152,云鸟16,0,0
2015/10/01,37969630200,116.414732,40.088864,云鸟16,31,1
2015/10/01,37010630100,116.414146,40.089954,云鸟16,208,1
本车合计,,,,云鸟16,63145,70
2015/10/01,O,116.282381,39.643378,刘言坤,0,0
2015/10/01,24350629800,116.284294,39.638056,刘言坤,1475,2
2015/10/01,31188630800,116.351244,39.692516,刘言坤,11021,18
2015/10/01,38779629700,116.279259,39.721207,刘言坤,9299,18
本车合计,,,,刘言坤,21795,38
2015/10/01,O,116.282381,39.643378,云鸟111,0,0
2015/10/01,20160630300,116.467814,39.917863,云鸟111,43949,38
2015/10/01,17390631100,116.469154,39.922813,云鸟111,723,3
2015/10/01,17390631900,116.469154,39.922813,云鸟111,0,0
2015/10/01,47020630100,116.476713,39.916985,云鸟111,1237,6
2015/10/01,38393630800,116.485855,39.919331,云鸟111,1534,5
2015/10/01,18137629500,116.485013,39.924794,云鸟111,620,2
2015/10/01,19721630800,116.48481,39.93071,云鸟111,702,1
2015/10/01,46112629900,116.482917,39.933298,云鸟111,587,3
2015/10/01,53429630800,116.471298,39.930782,云鸟111,1676,5
2015/10/01,33232629700,116.462715,39.933337,云鸟111,1878,8
2015/10/01,33263631500,116.462715,39.933337,云鸟111,0,0
本车合计,,,,云鸟111,52906,71
2015/10/01,O,116.282381,39.643378,一号货车4,0,0
2015/10/01,13786629200,116.359097,39.834521,一号货车4,26559,22
2015/10/01,19427630600,116.356622,39.846756,一号货车4,1683,6
2015/10/01,10833630000,116.362244,39.850021,一号货车4,917,3
2015/10/01,41713629500,116.362187,39.845342,一号货车4,791,3
2015/10/01,56209631700,116.36678,39.845733,一号货车4,842,1
2015/10/01,10405629000,116.371673,39.853253,一号货车4,1231,4
2015/10/01,11081629800,116.371673,39.853253,一号货车4,0,0
2015/10/01,10568631200,116.37444,39.852777,一号货车4,250,3
2015/10/01,10568631300,116.37444,39.852777,一号货车4,0,0
2015/10/01,39717630400,116.37444,39.852777,一号货车4,0,0
2015/10/01,51724630100,116.378149,39.846503,一号货车4,1309,5
2015/10/01,39137628800,116.378885,39.842946,一号货车4,1215,6
2015/10/01,39607630100,116.378885,39.842946,一号货车4,0,0
2015/10/01,3620630020,116.386177,39.851906,一号货车4,1702,5
本车合计,,,,一号货车4,36499,58
2015/10/01,O,116.282381,39.643378,云鸟48,0,0
2015/10/01,512631020,116.468666,39.944107,云鸟48,46353,40
2015/10/01,17569630200,116.459058,39.94894,云鸟48,1474,2
2015/10/01,2398631550,116.456917,39.949787,云鸟48,306,1
2015/10/01,3160630570,116.456746,39.949855,云鸟48,30,0
2015/10/01,15085629000,116.451775,39.951355,云鸟48,633,5
2015/10/01,11688630200,116.447767,39.945968,云鸟48,1244,7
本车合计,,,,云鸟48,50040,55
2015/10/01,O,116.282381,39.643378,云鸟94,0,0
2015/10/01,19392631200,116.35194,39.987354,云鸟94,43139,36
2015/10/01,19392630800,116.35194,39.987354,云鸟94,0,0
2015/10/01,2032629570,116.354066,40.001856,云鸟94,2408,14
2015/10/01,4598631860,116.353763,40.001801,云鸟94,51,1
2015/10/01,3589629420,116.351973,40.004944,云鸟94,1458,4
2015/10/01,3589629430,116.351973,40.004944,云鸟94,0,0
2015/10/01,11475630800,116.334851,39.995854,云鸟94,2419,7
本车合计,,,,云鸟94,49475,62
2015/10/01,O,116.282381,39.643378,富路通7,0,0
2015/10/01,27086631200,116.206386,39.915993,富路通7,37560,37
2015/10/01,26628629000,116.203368,39.93091,富路通7,2889,7
2015/10/01,23168629600,116.17015,39.935154,富路通7,3577,10
2015/10/01,38377629700,116.16188,39.927074,富路通7,1664,3
2015/10/01,22940630200,116.144168,39.930615,富路通7,2924,5
2015/10/01,27187628900,116.12812,39.936768,富路通7,2633,8
2015/10/01,53143629900,116.136406,39.959015,富路通7,4846,6
2015/10/01,28746631500,116.139474,39.955768,富路通7,885,2
2015/10/01,28786629500,116.139474,39.955768,富路通7,0,0
2015/10/01,28786630600,116.139474,39.955768,富路通7,0,0
2015/10/01,23579631100,116.10997,39.96257,富路通7,3412,4
2015/10/01,35578631800,116.125899,39.971603,富路通7,2819,4
本车合计,,,,富路通7,63209,86
2015/10/01,O,116.282381,39.643378,云鸟164,0,0
2015/10/01,17496631300,116.433182,40.103863,云鸟164,61875,63
2015/10/01,51075628900,116.412457,40.106168,云鸟164,1938,3
2015/10/01,51173631700,116.412457,40.106168,云鸟164,0,0
2015/10/01,51210630100,116.412457,40.106168,云鸟164,0,0
2015/10/01,57752631500,116.394168,40.113293,云鸟164,3067,6
2015/10/01,54888631200,116.370329,40.115061,云鸟164,2323,5
2015/10/01,54888630300,116.370329,40.115061,云鸟164,0,0
2015/10/01,54888630200,116.370329,40.115061,云鸟164,0,0
2015/10/01,28156630600,116.367339,40.114123,云鸟164,397,2
2015/10/01,34682629800,116.367339,40.114123,云鸟164,0,0
